
Start Time 10:50:55   Mar 31, 2017
Time ,freq ,Cap ,G  
10:51:14,   0.22,  69.2, 2.39
10:51:26,   0.32,  41.8, 2.30
10:51:40,   0.46,  70.8, 2.25
10:51:55,   0.68,  77.8, 2.12
10:52:10,   1.00,  84.1, 2.52
10:52:22,   1.47,  91.1, 2.50
10:52:35,   2.15,  88.7, 2.46
10:52:47,   3.16,  92.5, 2.40
10:52:59,   4.64,  89.9, 2.37
10:53:11,   6.81, 105.0, 2.27
10:53:23,  10.00, 101.3, 2.27
10:53:35,  14.68,  97.8, 2.27
10:53:47,  21.54, 105.5, 2.24
10:53:59,  31.62,  91.7, 2.18
10:54:11,  46.42, 100.9, 2.17
10:54:23,  68.13,  99.0, 2.13
10:54:35,   0.22,  96.4, 2.29
10:54:47,   0.32, 111.5, 2.24
10:54:59,   0.46,  96.6, 2.17
10:55:11,   0.68,  93.7, 2.05
10:55:22,   1.00,  84.1, 2.44
10:55:34,   1.47,  91.2, 2.43
10:55:47,   2.15,  86.9, 2.40
10:55:58,   3.16,  90.7, 2.35
10:56:10,   4.64,  74.1, 2.31
10:56:22,   6.81,  73.2, 2.22
10:56:33,  10.00,  81.4, 2.24
10:56:45,  14.68,  81.8, 2.24
10:56:56,  21.54,  71.4, 2.20
10:57:08,  31.62,  69.6, 2.15
10:57:20,  46.42,  62.7, 2.13
10:57:32,  68.13,  58.8, 2.11
10:57:43,   0.22,  30.0, 2.25
10:57:55,   0.32,  79.2, 2.20
10:58:07,   0.46,  68.5, 2.15
10:58:18,   0.68,  59.7, 2.03
10:58:30,   1.00,  68.1, 2.42
10:58:42,   1.47,  61.3, 2.40
10:58:53,   2.15,  48.9, 2.38
10:59:05,   3.16,  52.8, 2.33
10:59:17,   4.64,  46.2, 2.29
10:59:28,   6.81,  49.2, 2.21
10:59:40,  10.00,  37.4, 2.21
10:59:52,  14.68,  45.8, 2.21
11:00:03,  21.54,  39.3, 2.17
11:00:15,  31.62,  41.5, 2.12
11:00:27,  46.42,  44.6, 2.12
11:00:39,  68.13,  48.6, 2.08
11:00:51,   0.22,  11.9, 2.24
11:01:03,   0.32,  51.1, 2.17
11:01:15,   0.46,  40.4, 2.13
11:01:26,   0.68,  27.6, 2.02
11:01:38,   1.00,  50.1, 2.40
11:01:50,   1.47,  31.3, 2.38
11:02:02,   2.15,  35.0, 2.35
11:02:13,   3.16,  24.8, 2.30
11:02:25,   4.64,  24.3, 2.27
11:02:37,   6.81,  17.3, 2.18
11:02:48,  10.00,  23.4, 2.20
11:03:00,  14.68,  27.8, 2.20
11:03:12,  21.54,  27.3, 2.17
11:03:23,  31.62,  21.4, 2.11
11:03:35,  46.42,  16.5, 2.11
11:03:46,  68.13,  20.5, 2.07
11:03:58,   0.22,   3.8, 2.22
11:04:10,   0.32,  21.0, 2.17
